"CAMPOS DE EDUCACION Y CAPACITACION CINE 2013;Fecha;Provincia;Total";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;AZUAY;8966";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;BOLIVAR;1761";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;CAÑAR;994";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;CARCHI;736";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;CHIMBORAZO;7236";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;COTOPAXI;2140";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;EL ORO;6151";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;ESMERALDAS;3966";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;GALAPAGOS;80";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;GUAYAS;44688";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;IMBABURA;4136";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;LOJA;25971";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;LOS RIOS;8004";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;MANABI;13698";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;MORONA SANTIAGO;704";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;NAPO;464";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;ORELLANA;520";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;PASTAZA;964";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;PICHINCHA;41640";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;SANTA ELENA;1940";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;SANTO DOMINGO;3120";
"ADMINISTRACIÓN DE EMPRESAS Y DERECHO;1/1/2012;TUNGURAHUA;10625";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;AZUAY;916";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;BOLIVAR;407";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;CARCHI;219";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;CHIMBORAZO;1625";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;COTOPAXI;803";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;EL ORO;479";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;ESMERALDAS;466";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;GUAYAS;3683";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;IMBABURA;685";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;LOJA;818";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;LOS RIOS;2832";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;MANABI;2642";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;MORONA SANTIAGO;44";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;PASTAZA;81";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;PICHINCHA;2327";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;SANTA ELENA;62";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;SANTO DOMINGO;308";
"AGRICULTURA SILVICULTURA PESCA Y VETERINARIA;1/1/2012;TUNGURAHUA;536";
"ARTES Y HUMANIDADES;1/1/2012;AZUAY;1876";
"ARTES Y HUMANIDADES;1/1/2012;CARCHI;11";
"ARTES Y HUMANIDADES;1/1/2012;CHIMBORAZO;881";
"ARTES Y HUMANIDADES;1/1/2012;COTOPAXI;339";
"ARTES Y HUMANIDADES;1/1/2012;EL ORO;78";
"ARTES Y HUMANIDADES;1/1/2012;ESMERALDAS;86";
"ARTES Y HUMANIDADES;1/1/2012;GUAYAS;5804";
"ARTES Y HUMANIDADES;1/1/2012;IMBABURA;446";
"ARTES Y HUMANIDADES;1/1/2012;LOJA;958";
"ARTES Y HUMANIDADES;1/1/2012;LOS RIOS;258";
"ARTES Y HUMANIDADES;1/1/2012;MANABI;353";
"ARTES Y HUMANIDADES;1/1/2012;PICHINCHA;5362";
"ARTES Y HUMANIDADES;1/1/2012;SANTA ELENA;57";
"ARTES Y HUMANIDADES;1/1/2012;SANTO DOMINGO;205";
"ARTES Y HUMANIDADES;1/1/2012;TUNGURAHUA;1040";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;AZUAY;1102";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;CHIMBORAZO;1576";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;COTOPAXI;559";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;EL ORO;94";
"CIENICAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;ESMERALDAS;274";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;GALAPAGOS;55";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;GUAYAS;2546";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;IMBABURA;477";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;LOJA;2887";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;LOS RIOS;243";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;MANABI;1484";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;MORONA SANTIAGO;44";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;ORELLANA;125";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;PASTAZA;232";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;PICHINCHA;7041";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;SANTA ELENA;97";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;SANTO DOMINGO;192";
"CIENCIAS NATURALES MATEMÁTICA Y ESTADÍSTICA;1/1/2012;TUNGURAHUA;59";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;AZUAY;4127";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;BOLIVAR;112";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;CAÑAR;102";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;CARCHI;89";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;CHIMBORAZO;974";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;COTOPAXI;163";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;EL ORO;1128";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;ESMERALDAS;187";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;GUAYAS;11171";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;IMBABURA;441";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;LOJA;6802";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;LOS RIOS;1046";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;MANABI;3449";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;MORONA SANTIAGO;62";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;NAPO;50";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;PICHINCHA;14590";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;SANTA ELENA;614";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;SANTO DOMINGO;260";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;TUNGURAHUA;2180";
"CIENCIAS SOCIALES PERIODISMO E INFORMACIÓN;1/1/2012;ZAMORA CHINCHIPE;65";
"EDUCACIÓN;1/1/2012;AZUAY;3233";
"EDUCACIÓN;1/1/2012;BOLIVAR;2814";
"EDUCACIÓN;1/1/2012;CAÑAR;381";
"EDUCACIÓN;1/1/2012;CHIMBORAZO;2811";
"EDUCACIÓN;1/1/2012;COTOPAXI;1745";
"EDUCACIÓN;1/1/2012;EL ORO;2985";
"EDUCACIÓN;1/1/2012;ESMERALDAS;3541";
"EDUCACIÓN;1/1/2012;GALAPAGOS;68";
"EDUCACIÓN;1/1/2012;GUAYAS;20592";
"EDUCACIÓN;1/1/2012;IMBABURA;1427";
"EDUCACIÓN;1/1/2012;LOJA;9805";
"EDUCACIÓN;1/1/2012;LOS RIOS;5472";
"EDUCACIÓN;1/1/2012;MANABI;8466";
"EDUCACIÓN;1/1/2012;MORONA SANTIAGO;113";
"EDUCACIÓN;1/1/2012;NAPO;20";
"EDUCACIÓN;1/1/2012;ORELLANA;20";
"EDUCACIÓN;1/1/2012;PASTAZA;53";
"EDUCACIÓN;1/1/2012;PICHINCHA;11776";
"EDUCACIÓN;1/1/2012;SANTA ELENA;1905";
"EDUCACIÓN;1/1/2012;SANTO DOMINGO;1823";
"EDUCACIÓN;1/1/2012;SUCUMBIOS;26";
"EDUCACIÓN;1/1/2012;TUNGURAHUA;8714";
"EDUCACIÓN;1/1/2012;ZAMORA CHINCHIPE;85";" INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;AZUAY;6938"
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;BOLIVAR;64";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;CAÑAR;269";
"INGENIERÍA INDUSTRIA Y CONSTRUCCIÓN;1/1/2012;CHIMBORAZO;4761";
